profissa;prestig;suicidio;rendim;educ
contab;83;23.9;3967;14.3
arquitet;91;33.9;5450;16.8
autores;77;36.1;4327;15.5
dentistas;90;20.8;4109;16.8
prof univ.;93;14.1;4458;17
quimicos;90;45.2;6498;15.8
advogados;89;31.6;4993;16
padres;90;24.9;6352;16.5
medicos;98;31.5;9010;17
trab sociais;58;15.2;3189;15.8
prof. Liceu;74;17.1;3476;16
industriais;81;64.9;4700;12.2
comerciantes;46;47.3;3785;11
carpinteiros;39;22.3;2901;12.6
seguros;40;33.4;3872;12.6
vendedores;17;23.6;2597;12.2
maquinistas;54;31.7;3477;11.2
mecanicos;27;25;2730;9.3
elestricistas;30;28.3;3390;9.2
guardas;11;13.8;1851;10.4
cozinheiros;18;19;3369;9.2
camionistas;13;16.4;2509;9.5
barbeiros;20;30.4;2268;8.7
criadas;6;22.5;1938;9.8
recepcionistas;16;45.4;2239;8.6
porteiro;7;19.6;1872;7.9
policias;41;49.5;2996;10.5
marceneiros;35;16.8;3622;12.3
canalizadores;24;16.1;2972;9.7
engenheiros;68;34.8;4691;8.9
pintores;14;40;2303;8
