"K","Average silhouette width"
1,0
2,0.225512303812847
3,0.186595559290381
4,0.183444444906688
5,0.196836492956942
6,0.206213741201219
7,0.214148783540045
8,0.199687907728066
9,0.211874276575717
10,0.224360975261397
11,0.203724389717871
12,0.178461816397555
13,0.154763015641738
14,0.140999184622236
15,0.140523600257964
16,0.125256633450196
17,0.106688722365576
18,0.101824122963397
19,0.0928429748817517
20,0.0714141443299657
21,0.0740070968029213
22,0.0673843910728732
23,0.0631600361814647
24,0.0482286770099739
25,0.0304991386904824
26,0.0181256727093994
27,0.0136027552774848
